QUEST_JOBSTEP_20150317_000001	ボコルとは…困難な道を選んじまったねぇ。{nl}冒険日誌の製造法を参考にして主だけの人形を作ってきてごらん。
QUEST_JOBSTEP_20150317_000002	自ら求めなければ手に入らないもんだよ。{nl}人形の製造法は自分の冒険日誌を参考にするんだね。
QUEST_JOBSTEP_20150317_000003	新たなボコルが誕生したようだね。おめでとう。{nl}私がボコルの道を選択した時は、自分だけの人形を作ることから始めたもんだよ。{nl}
QUEST_JOBSTEP_20150317_000004	ペルタストマスター
QUEST_JOBSTEP_20150317_000005	あなたが本当に私の教えを受けたいのなら、その資格があるか証明しなければなりません。{nl}課題を出します。水晶鉱山1階を占領しているゴブリンたちを退治してください。{nl}{nl}
QUEST_JOBSTEP_20150317_000006	その程度もできないようではペルタストの名は語れませんよ。
QUEST_JOBSTEP_20150317_000007	いいでしょう。{nl}あなたが成長して世界を守ってくれることを祈っています。
QUEST_JOBSTEP_20150317_000008	ハイランダーマスター
QUEST_JOBSTEP_20150317_000009	君が私の剣法を継承してくれるというのは実にありがたいが、ついてこられるのか疑問だな。{nl}水晶鉱山1階を占拠しているゴブリンたちを倒してきたら君を認めよう。
QUEST_JOBSTEP_20150317_000010	急げ。{nl}課題とは言え、ゴブリンたちが鉱山の村の脅威となっていることは事実なのだ。
QUEST_JOBSTEP_20150317_000011	いいだろう。ハイランダーへの入門を許可する。{nl}これからも精進するように。
QUEST_JOBSTEP_20150317_000012	パイロマンサーマスター
QUEST_JOBSTEP_20150317_000013	私から魔法を学びたいという熱意は分かるけど、誰にでも教えてあげるわけじゃないの。{nl}私の研究にどれだけ貢献してくれるかで判断するわ。
QUEST_JOBSTEP_20150317_000014	ご苦労様。おかげで次の研究段階に進めるわ。{nl}約束通り、パイロマンサーの魔法を教えてあげるわね。
QUEST_JOBSTEP_20150317_000015	おや、いらっしゃい。話は聞いてるよ。{nl}いいかい？よく聞きな。これから召喚する悪霊を退治するんだ。{nl}その過程で発生する特別な波長を記録するからね。
